id,object_name,chain,object_type,address,number,number_original,object_type_short,street,street_length
220963,Кафе Оджахури,False,предприятие быстрого обслуживания,"город Москва, улица Вавилова, дом 64/1, строение 1",8.0,8,фастфуд,улица Вавилова,14
220965,Кафе La Maree,False,кафе,"город Москва, улица Вавилова, дом 64/1, строение 1",4.0,4,кафе,улица Вавилова,14
220966,Пиццерия Томатино,False,кафе,"город Москва, улица Вавилова, дом 64/1, строение 1",2.0,2,кафе,улица Вавилова,14
220967,Кафе I Need Doner,False,предприятие быстрого обслуживания,"город Москва, улица Вавилова, дом 64/1, строение 1",2.0,2,фастфуд,улица Вавилова,14
221747,Про пельмени,False,предприятие быстрого обслуживания,"город Москва, улица Вавилова, дом 64/1, строение 1",20.0,0,фастфуд,улица Вавилова,14
221748,Sushi by Jimmy,False,кафе,"город Москва, улица Вавилова, дом 64/1, строение 1",2.0,2,кафе,улица Вавилова,14
221749,Мир Аранчини,False,кафе,"город Москва, улица Вавилова, дом 64/1, строение 1",6.0,6,кафе,улица Вавилова,14
206030,Житная 10,False,ресторан,"город Москва, Новочерёмушкинская улица, дом 58",20.0,20,ресторан,Новочерёмушкинская улица,24
210551,Кофе Еда,False,кафе,"город Москва, Новочерёмушкинская улица, дом 58",14.0,14,кафе,Новочерёмушкинская улица,24
223387,Чайная,False,кафе,"город Москва, Строительный проезд, дом 2, строение 2",20.0,20,кафе,Строительный проезд,19
220054,ЯСамарканД24,False,кафе,"город Москва, улица Свободы, дом 71А, корпус 2",120.0,120,кафе,улица Свободы,13
211577,Кафе Строгоноф,False,кафе,"город Москва, Светлогорский проезд, дом 13, строение 1",20.0,20,кафе,Светлогорский проезд,20
210347,Чудо Тандыр Донер,False,кафетерий,"город Москва, Сходненская улица, дом 17",10.0,10,кафетерий,Сходненская улица,17
223381,Столовая,False,столовая,"город Москва, Строительный проезд, дом 7А, корпус 28",38.0,38,столовая,Строительный проезд,19
